name,Design case,Low context,High conext,Future high context,,,,,,,,
Shanghai,1,1648.56,1633.93,1356.48,,,,,,,,
Shanghai,2,1776.81,1748.71,1443.56,,,,,,,,
Shanghai,3,2420.63,2369.82,2019.62,,,,,,,,
Shanghai,4,2548.32,2479.89,2138.34,,,,,,,,
Shanghai,5,3078.44,3032.91,2553.73,,,,,,,,
Shanghai,6,3228.31,3143.5,2666.16,,,,,,,,
Shanghai,7,1661.72,1627.53,1357.67,,,,,,,,
Shanghai,8,1813.33,1784.19,1483.39,,,,,,,,
Shanghai,9,2421.53,2394.87,2028.88,,,,,,,,
Shanghai,10,2585.51,2517.85,2177.1,,,,,,,,
Shanghai,11,3089.27,3056.16,2596.6,,,,,,,,
Shanghai,12,3267.04,3230.71,2717.67,,,,,,,,
Shanghai,13,2116.1,2107,1795.03,,,,,,,,
Shanghai,14,2222.65,2212.66,1906.61,,,,,,,,
Shanghai,15,3017.78,2986.15,2495.06,,,,,,,,
Shanghai,16,3136.75,3134.32,2630.75,,,,,,,,
Shanghai,17,3880.76,3866.79,3179.8,,,,,,,,
Shanghai,18,4076.46,4022.71,3373.91,,,,,,,,
Shanghai,19,2209.21,2159.64,1836.49,,,,,,,,
Shanghai,20,2304.35,2280.25,1967.61,,,,,,,,
Shanghai,21,3135.49,3079.02,2583.9,,,,,,,,
Shanghai,22,3332.85,3257.25,2716.37,,,,,,,,
Shanghai,23,4049.88,3960.61,3270.82,,,,,,,,
Shanghai,24,4202.88,4122.88,3448.33,,,,,,,,